Branch,Content
ALLPVX,Vector of x-coordinates of all primary vertices
ALLPVY,Vector of y-coordinates of all primary vertices
ALLPVZ,Vector of z-coordinates of all primary vertices
BUNCHCROSSING_ID,Bunch crossing identifier from ODIN
BUNCHCROSSING_TYPE,Bunch crossing type from ODIN
Decision,Global event decision
EVENTNUMBER,Event number from ODIN
EVENTTYPE,Extracts event type from ODIN
FillNumber,LHC fill number from conditions
GPSTIME,GPS time from ODIN
Hlt1DiMuonHighMassDecision,Trigger decision: Hlt1DiMuonHighMass
Hlt1DiMuonLowMassDecision,Trigger decision: Hlt1DiMuonLowMass
Hlt1DiMuonNoIPDecision,Trigger decision: Hlt1DiMuonNoIP
Hlt1DiMuonNoIP_SSDecision,Trigger decision: Hlt1DiMuonNoIP SS
Hlt1DiMuonSoftDecision,Trigger decision: Hlt1DiMuonSoft
Hlt1GlobalDecision,Trigger decision: Hlt1Global
Hlt1LowPtDiMuonDecision,Trigger decision: Hlt1LowPtDiMuon
Hlt1LowPtMuonDecision,Trigger decision: Hlt1LowPtMuon
Hlt1PhysDecision,Trigger decision: Hlt1Phys
Hlt1SingleHighPtMuonDecision,Trigger decision: Hlt1SingleHighPtMuon
Hlt1TrackMVADecision,Trigger decision: Hlt1TrackMVA
Hlt1TrackMuonMVADecision,Trigger decision: Hlt1TrackMuonMVA
Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision,Trigger decision: Hlt1TrackMuonMVAHlt1TwoTrackMVA
Hlt1_TCK,Hlt1 trigger configuration key
Hlt2QEE_DiJetIncSVTag_pT25M40FullDecision,Trigger decision: Hlt2QEE DiJetIncSVTag pT25M40Full
Hlt2QEE_DiSVTagJet10GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet10GeVFull
Hlt2QEE_DiSVTagJet15GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet15GeVFull
Hlt2QEE_DiSVTagJet20GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet20GeVFull
Hlt2QEE_DiSVTagJet25GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet25GeVFull
Hlt2QEE_DiSVTagJet30GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet30GeVFull
Hlt2QEE_DiSVTagJet35GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet35GeVFull
Hlt2QEE_DiTopoTagJet10GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet10GeVFull
Hlt2QEE_DiTopoTagJet15GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet15GeVFull
Hlt2QEE_DiTopoTagJet20GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet20GeVFull
Hlt2QEE_DiTopoTagJet25GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet25GeVFull
Hlt2QEE_DiTopoTagJet30GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet30GeVFull
Hlt2QEE_DiTopoTagJet35GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet35GeVFull
Hlt2QEE_IncJet15GeVFullDecision,Trigger decision: Hlt2QEE IncJet15GeVFull
Hlt2QEE_IncJet25GeVFullDecision,Trigger decision: Hlt2QEE IncJet25GeVFull
Hlt2QEE_IncJet35GeVFullDecision,Trigger decision: Hlt2QEE IncJet35GeVFull
Hlt2QEE_IncJet45GeVFullDecision,Trigger decision: Hlt2QEE IncJet45GeVFull
Hlt2QEE_SingleHighPtElectronFullDecision,Trigger decision: Hlt2QEE SingleHighPtElectronFull
Hlt2QEE_SingleHighPtMuonFullDecision,Trigger decision: Hlt2QEE SingleHighPtMuonFull
Hlt2QEE_SingleHighPtMuonIsoFullDecision,Trigger decision: Hlt2QEE SingleHighPtMuonIsoFull
Hlt2QEE_SingleHighPtMuonNoMuIDFullDecision,Trigger decision: Hlt2QEE SingleHighPtMuonNoMuIDFull
Hlt2QEE_SingleVHighPtElectronFullDecision,Trigger decision: Hlt2QEE SingleVHighPtElectronFull
Hlt2QEE_ZToMuMu_DoubleNoMuIDFullDecision,Trigger decision: Hlt2QEE ZToMuMu DoubleNoMuIDFull
Hlt2QEE_ZToMuMu_SingleNoMuIDFullDecision,Trigger decision: Hlt2QEE ZToMuMu SingleNoMuIDFull
Hlt2_TCK,Hlt2 trigger configuration key
Jet1_CPF,
Jet1_ConE,Map a functor over a range; Get the energy (see FOURMOMENTUM() for definition).
Jet1_ConETA,Map a functor over a range; Get the eta (pseudorapidity) coordinate of a slope (see SLOPES() for definition).
Jet1_ConETA_indx,Index array for Jet1_ConETA
Jet1_ConE_indx,Index array for Jet1_ConE
Jet1_ConINBREM,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConINBREM_indx,Index array for Jet1_ConINBREM
Jet1_ConINECAL,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConINECAL_indx,Index array for Jet1_ConINECAL
Jet1_ConINHCAL,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConINHCAL_indx,Index array for Jet1_ConINHCAL
Jet1_ConINMUON,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConINMUON_indx,Index array for Jet1_ConINMUON
Jet1_ConKey,Map a functor over a range; Key of the KeyedObject.
Jet1_ConKey_indx,Index array for Jet1_ConKey
Jet1_ConMass,Map a functor over a range; Get the particle (composite or basic) mass.
Jet1_ConMass_indx,Index array for Jet1_ConMass
Jet1_ConNFTHITS,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNFTHITS_indx,Index array for Jet1_ConNFTHITS
Jet1_ConNFTHOLES,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNFTHOLES_indx,Index array for Jet1_ConNFTHOLES
Jet1_ConNHITS,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNHITS_indx,Index array for Jet1_ConNHITS
Jet1_ConNUTHITS,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNUTHITS_indx,Index array for Jet1_ConNUTHITS
Jet1_ConNVPHITS,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNVPHITSA,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNVPHITSA_indx,Index array for Jet1_ConNVPHITSA
Jet1_ConNVPHITSC,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNVPHITSC_indx,Index array for Jet1_ConNVPHITSC
Jet1_ConNVPHITS_indx,Index array for Jet1_ConNVPHITS
Jet1_ConNVPHOLES,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNVPHOLES_indx,Index array for Jet1_ConNVPHOLES
Jet1_ConNVPLAYERS,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConNVPLAYERS_indx,Index array for Jet1_ConNVPLAYERS
Jet1_ConPHI,Map a functor over a range; Get the phi coordinate of a slope (see SLOPES() for definition).
Jet1_ConPHI_indx,Index array for Jet1_ConPHI
Jet1_ConPID,Map a functor over a range; Particle ID of a Particle or MCParticle.
Jet1_ConPID_indx,Index array for Jet1_ConPID
Jet1_ConPT,Map a functor over a range; Get the transverse momentum (see THREEMOMENTUM() for definition).
Jet1_ConPT_indx,Index array for Jet1_ConPT
Jet1_ConPX,Map a functor over a range; Get the X-coordinate of the momentum (see THREEMOMENTUM() for definition).
Jet1_ConPX_indx,Index array for Jet1_ConPX
Jet1_ConPY,Map a functor over a range; Get the Y-coordinate of the momentum (see THREEMOMENTUM() for definition).
Jet1_ConPY_indx,Index array for Jet1_ConPY
Jet1_ConPZ,Map a functor over a range; Get the Z-coordinate of the momentum (see THREEMOMENTUM() for definition).
Jet1_ConPZ_indx,Index array for Jet1_ConPZ
Jet1_ConQ,Map a functor over a range; Compute the charge
Jet1_ConQ_indx,Index array for Jet1_ConQ
Jet1_ConSumINBREM,Count the number of elements in a range satisfying some predicate
Jet1_ConSumINECAL,Count the number of elements in a range satisfying some predicate
Jet1_ConSumINHCAL,Count the number of elements in a range satisfying some predicate
Jet1_ConSumINMUON,Count the number of elements in a range satisfying some predicate
Jet1_ConSumNUTHITS,Count the number of elements in a range satisfying some predicate
Jet1_ConSumTRACKHAST,Count the number of elements in a range satisfying some predicate
Jet1_ConSumTRACKHASUT,Count the number of elements in a range satisfying some predicate
Jet1_ConSumTRACKHASVELO,Count the number of elements in a range satisfying some predicate
Jet1_ConSumTRACKISDOWNSTREAM,Count the number of elements in a range satisfying some predicate
Jet1_ConSumTRACKISLONG,Count the number of elements in a range satisfying some predicate
Jet1_ConSumTRACKISTTRACK,Count the number of elements in a range satisfying some predicate
Jet1_ConSumTRACKISUPSTREAM,Count the number of elements in a range satisfying some predicate
Jet1_ConSumTRACKISVELO,Count the number of elements in a range satisfying some predicate
Jet1_ConTRACKHAST,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConTRACKHAST_indx,Index array for Jet1_ConTRACKHAST
Jet1_ConTRACKHASUT,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConTRACKHASUT_indx,Index array for Jet1_ConTRACKHASUT
Jet1_ConTRACKHASVELO,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConTRACKHASVELO_indx,Index array for Jet1_ConTRACKHASVELO
Jet1_ConTRACKISDOWNSTREAM,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConTRACKISDOWNSTREAM_indx,Index array for Jet1_ConTRACKISDOWNSTREAM
Jet1_ConTRACKISLONG,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConTRACKISLONG_indx,Index array for Jet1_ConTRACKISLONG
Jet1_ConTRACKISTTRACK,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConTRACKISTTRACK_indx,Index array for Jet1_ConTRACKISTTRACK
Jet1_ConTRACKISUPSTREAM,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConTRACKISUPSTREAM_indx,Index array for Jet1_ConTRACKISUPSTREAM
Jet1_ConTRACKISVELO,Map a functor over a range; Return contained value of optional or specified default if optional is empty
Jet1_ConTRACKISVELO_indx,Index array for Jet1_ConTRACKISVELO
Jet1_E,Get the energy (see FOURMOMENTUM() for definition).
Jet1_ETA,Get the eta (pseudorapidity) coordinate of a slope (see SLOPES() for definition).
Jet1_JEC,
Jet1_JECError,
Jet1_JetWidth,
Jet1_JetWidthNorm,
Jet1_Key,Key of the KeyedObject.
Jet1_M,Get the particle (composite or basic) mass.
Jet1_MNF,
Jet1_MPT,
Jet1_MTF,
Jet1_N90,
Jet1_NHasPV,
Jet1_NIPChi2Inf4,
Jet1_NPVsForJEC,
Jet1_NSatCalo,
Jet1_NSatECAL,
Jet1_NSatHCAL,
Jet1_Ntracks,
Jet1_P,Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
Jet1_PARTICLE_ID,Particle ID (PDG code)
Jet1_PHI,Get the phi coordinate of a slope (see SLOPES() for definition).
Jet1_PROBNN_D,MVA probability for deuteron hypothesis
Jet1_PROBNN_E,MVA probability for electron hypothesis
Jet1_PROBNN_GHOST,MVA probability for ghost track hypothesis
Jet1_PROBNN_K,MVA probability for kaon hypothesis
Jet1_PROBNN_MU,MVA probability for muon hypothesis
Jet1_PROBNN_P,MVA probability for proton hypothesis
Jet1_PROBNN_PI,MVA probability for pion hypothesis
Jet1_PT,Get the transverse momentum (see THREEMOMENTUM() for definition).
Jet1_PX,Get the X-coordinate of the momentum (see THREEMOMENTUM() for definition).
Jet1_PY,Get the Y-coordinate of the momentum (see THREEMOMENTUM() for definition).
Jet1_PZ,Get the Z-coordinate of the momentum (see THREEMOMENTUM() for definition).
Jet1_THETA,Get the theta coordinate of a slope (see SLOPES() for definition).
Jet1_log_P,Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
Jet1_log_PT,Get the transverse momentum (see THREEMOMENTUM() for definition).
Jet1_nChargedCons,Evaluates the number of particles in a decay tree satisfying the predicate at the given depth (see GET_GENERATION() for definition)
Jet1_nCons,Evaluates the number of particles in a decay tree satisfying the predicate at the given depth (see GET_GENERATION() for definition)
Jet1_nNeutralCons,Evaluates the number of particles in a decay tree satisfying the predicate at the given depth (see GET_GENERATION() for definition)
Jet1_vtx_x,
Jet1_vtx_y,
Jet1_vtx_z,
MuNuR_ALLPV_IP,Impact parameter with respect to all primary vertices
MuNuR_ALLPV_IPCHI2,Impact parameter chi2 with respect to all primary vertices
MuNuR_BREMBENDCORR,Correction factor accounting for bending biases in track due to brem
MuNuR_BREMENERGY,Brem momentum-recovery energy
MuNuR_BREMHYPOAREA,Area code of brem CaloHypo CellID
MuNuR_BREMHYPOCOL,Column code of brem CaloHypo CellID
MuNuR_BREMHYPODELTAX,Test statistic of being first-state like of CaloHypo (photon) for brem recovery
MuNuR_BREMHYPOENERGY,Energy of CaloHypo (photon) associated to track for brem recovery
MuNuR_BREMHYPOID,All significant bits representation of CellID (32bits) for CaloHypo (photon) associated to track for brem recovery
MuNuR_BREMHYPOMATCH_CHI2,2D chi2 of CaloHypo (photon) associated to track for brem recovery
MuNuR_BREMHYPOROW,Row code of brem CaloHypo CellID
MuNuR_BREMPIDE,Brem-based DLL for electron-ID
MuNuR_BREMTRACKBASEDENERGY,Track-based brem energy determination
MuNuR_CLUSTERAREA,Area code of best matching cluster CellID
MuNuR_CLUSTERCOL,Column code of best matching cluster CellID
MuNuR_CLUSTERID,CellID.all() of the best matching cluster for a given reconstructed track
MuNuR_CLUSTERMATCH_CHI2,CaloID estimator: 2D chi2 for Track/CaloCluster matching (neutral + charged)
MuNuR_CLUSTERROW,Row code of best matching cluster CellID
MuNuR_CaloClusterMass,Retrieve the CALO cluster mass obtained from MergedPi0Alg
MuNuR_CaloNeutral1To9EnergyRatio,Fraction of highest E cell (seed) to 9 (3x3) cells forming the cluster
MuNuR_CaloNeutral4To9EnergyRatio,Fraction of highest 2x2 cell (seed) to 9 (3x3) cells forming the cluster
MuNuR_CaloNeutralArea,Retrieve area code of neutral CaloHypo CellID
MuNuR_CaloNeutralCol,Retrieve column code of neutral CaloHypo CellID
MuNuR_CaloNeutralEcalEnergy,Retrieve the ECAL cluster energy associated to the neutral CaloHypo
MuNuR_CaloNeutralHcal2EcalEnergyRatio,Retrieve the HCAL/ECAL energy ratio associated to the neutral CaloHypo
MuNuR_CaloNeutralID,Retrieve bitwise information (32bits) of all CALO neutral seed CellIDs
MuNuR_CaloNeutralRow,Retrieve row code of neutral CaloHypo CellID
MuNuR_CaloNeutralShowerShape,CaloID estimator: 2nd order moment of the cluster (shower width)
MuNuR_CaloNumSaturatedCells,Number of saturated cells in calorimeter
MuNuR_CaloTrackMatchChi2,Chi2 of track-calorimeter cluster match
MuNuR_E,Get the energy (see FOURMOMENTUM() for definition).
MuNuR_ECALPIDE,Ecal-based DLL for electron-ID
MuNuR_ECALPIDMU,Ecal-based DLL for mu-ID
MuNuR_ELECTRONAREA,Area code of electron CaloHypo CellID
MuNuR_ELECTRONCOL,Column code of electron CaloHypo CellID
MuNuR_ELECTRONENERGY,Cluster energy associated to CaloHypo (charged electron)
MuNuR_ELECTRONID,All significant bits representation of CellID (32bits) associated to CaloHypo seed (electron hypo)
MuNuR_ELECTRONMATCH_CHI2,CaloID estimator: 3D chi2 for Track/CaloHypo(e) matching (charged)
MuNuR_ELECTRONROW,Row code of electron CaloHypo CellID
MuNuR_ELECTRONSHOWERDLL,Summed per-cell E/p DLL (electron versus pion) with track-based cell selection
MuNuR_ELECTRONSHOWEREOP,Electron energy/momentum with track-based cell selection
MuNuR_ETA,Get the eta (pseudorapidity) coordinate of a slope (see SLOPES() for definition).
MuNuR_GHOSTPROB,Track ghost probability (see TRACK() for definition).
MuNuR_HASBREM,Has non-zero brem momentum-recovery energy
MuNuR_HASBREMADDED,Has non-zero brem momentum-recovery energy added (using Particle class flag)
MuNuR_HCALEOP,Hcal energy deposit over momentum (track)
MuNuR_HCALPIDE,Hcal-based DLL for electron-ID
MuNuR_HCALPIDMU,Hcal-based DLL for mu-ID
MuNuR_Hlt1DiMuonHighMassDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1DiMuonHighMassDecision
MuNuR_Hlt1DiMuonHighMassDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1DiMuonHighMassDecision
MuNuR_Hlt1DiMuonLowMassDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1DiMuonLowMassDecision
MuNuR_Hlt1DiMuonLowMassDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1DiMuonLowMassDecision
MuNuR_Hlt1DiMuonNoIPDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1DiMuonNoIPDecision
MuNuR_Hlt1DiMuonNoIPDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1DiMuonNoIPDecision
MuNuR_Hlt1DiMuonNoIP_SSDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1DiMuonNoIP SSDecision
MuNuR_Hlt1DiMuonNoIP_SSDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1DiMuonNoIP SSDecision
MuNuR_Hlt1DiMuonSoftDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1DiMuonSoftDecision
MuNuR_Hlt1DiMuonSoftDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1DiMuonSoftDecision
MuNuR_Hlt1GlobalDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1GlobalDecision
MuNuR_Hlt1GlobalDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1GlobalDecision
MuNuR_Hlt1LowPtDiMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1LowPtDiMuonDecision
MuNuR_Hlt1LowPtDiMuonDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1LowPtDiMuonDecision
MuNuR_Hlt1LowPtMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1LowPtMuonDecision
MuNuR_Hlt1LowPtMuonDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1LowPtMuonDecision
MuNuR_Hlt1PhysDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1PhysDecision
MuNuR_Hlt1PhysDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1PhysDecision
MuNuR_Hlt1SingleHighPtMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1SingleHighPtMuonDecision
MuNuR_Hlt1SingleHighPtMuonDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1SingleHighPtMuonDecision
MuNuR_Hlt1TrackMVADecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1TrackMVADecision
MuNuR_Hlt1TrackMVADecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1TrackMVADecision
MuNuR_Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision
MuNuR_Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision
MuNuR_Hlt1TrackMuonMVADecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt1TrackMuonMVADecision
MuNuR_Hlt1TrackMuonMVADecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt1TrackMuonMVADecision
MuNuR_Hlt2QEE_DiJetIncSVTag_pT25M40FullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiJetIncSVTag pT25M40FullDecision
MuNuR_Hlt2QEE_DiJetIncSVTag_pT25M40FullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiJetIncSVTag pT25M40FullDecision
MuNuR_Hlt2QEE_DiSVTagJet10GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiSVTagJet10GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet10GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiSVTagJet10GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiSVTagJet15GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiSVTagJet15GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet20GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiSVTagJet20GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet20GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiSVTagJet20GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiSVTagJet25GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiSVTagJet25GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet30GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiSVTagJet30GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet30GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiSVTagJet30GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiSVTagJet35GeVFullDecision
MuNuR_Hlt2QEE_DiSVTagJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiSVTagJet35GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet10GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiTopoTagJet10GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet10GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiTopoTagJet10GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiTopoTagJet15GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiTopoTagJet15GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet20GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiTopoTagJet20GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet20GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiTopoTagJet20GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiTopoTagJet25GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiTopoTagJet25GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet30GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiTopoTagJet30GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet30GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiTopoTagJet30GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE DiTopoTagJet35GeVFullDecision
MuNuR_Hlt2QEE_DiTopoTagJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE DiTopoTagJet35GeVFullDecision
MuNuR_Hlt2QEE_IncJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE IncJet15GeVFullDecision
MuNuR_Hlt2QEE_IncJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE IncJet15GeVFullDecision
MuNuR_Hlt2QEE_IncJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE IncJet25GeVFullDecision
MuNuR_Hlt2QEE_IncJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE IncJet25GeVFullDecision
MuNuR_Hlt2QEE_IncJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE IncJet35GeVFullDecision
MuNuR_Hlt2QEE_IncJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE IncJet35GeVFullDecision
