Branch,Content
MuNuR_Hlt2QEE_IncJet45GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE IncJet45GeVFullDecision
MuNuR_Hlt2QEE_IncJet45GeVFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE IncJet45GeVFullDecision
MuNuR_Hlt2QEE_SingleHighPtElectronFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE SingleHighPtElectronFullDecision
MuNuR_Hlt2QEE_SingleHighPtElectronFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE SingleHighPtElectronFullDecision
MuNuR_Hlt2QEE_SingleHighPtMuonFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE SingleHighPtMuonFullDecision
MuNuR_Hlt2QEE_SingleHighPtMuonFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE SingleHighPtMuonFullDecision
MuNuR_Hlt2QEE_SingleHighPtMuonIsoFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE SingleHighPtMuonIsoFullDecision
MuNuR_Hlt2QEE_SingleHighPtMuonIsoFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE SingleHighPtMuonIsoFullDecision
MuNuR_Hlt2QEE_SingleHighPtMuonNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE SingleHighPtMuonNoMuIDFullDecision
MuNuR_Hlt2QEE_SingleHighPtMuonNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE SingleHighPtMuonNoMuIDFullDecision
MuNuR_Hlt2QEE_SingleVHighPtElectronFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE SingleVHighPtElectronFullDecision
MuNuR_Hlt2QEE_SingleVHighPtElectronFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE SingleVHighPtElectronFullDecision
MuNuR_Hlt2QEE_ZToMuMu_DoubleNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE ZToMuMu DoubleNoMuIDFullDecision
MuNuR_Hlt2QEE_ZToMuMu_DoubleNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE ZToMuMu DoubleNoMuIDFullDecision
MuNuR_Hlt2QEE_ZToMuMu_SingleNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for MuNuR Hlt2QEE ZToMuMu SingleNoMuIDFullDecision
MuNuR_Hlt2QEE_ZToMuMu_SingleNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for MuNuR Hlt2QEE ZToMuMu SingleNoMuIDFullDecision
MuNuR_ID,Particle ID of a Particle or MCParticle.
MuNuR_INBREM,In Brem acceptance
MuNuR_INECAL,In Ecal acceptance
MuNuR_INHCAL,In Hcal acceptance
MuNuR_INMUON,InAcceptance. Functor’s call operator expects a particle-like object.
MuNuR_ISCLONE,Track flag contains Clone; Return contained value of optional or specified default if optional is empty
MuNuR_ISDOWNSTREAM,Track type is Downstream; Return contained value of optional or specified default if optional is empty
MuNuR_ISLONG,Track type is Long; Return contained value of optional or specified default if optional is empty
MuNuR_ISMUON,IsMuon. Functor’s call operator expects a particle-like object.
MuNuR_ISMUONTIGHT,IsMuonTight. Functor’s call operator expects a particle-like object.
MuNuR_ISTTRACK,Track type is Ttrack; Return contained value of optional or specified default if optional is empty
MuNuR_ISUPSTREAM,Track type is Upstream; Return contained value of optional or specified default if optional is empty
MuNuR_ISVELO,Track type is Velo; Return contained value of optional or specified default if optional is empty
MuNuR_Key,Key of the KeyedObject.
MuNuR_M,Get the particle (composite or basic) mass.
MuNuR_MINIP,Miniumum impact parameter with respect to the given vertices.
MuNuR_MINIPCHI2,Miniumum impact parameter chi2 with respect to the given vertices.
MuNuR_NFTHITS,Number of FT hits.; Return contained value of optional or specified default if optional is empty
MuNuR_NFTHOLES,Return number of holes in SciFi of track as defined by HitPattern; Return contained value of optional or specified default if optional is empty
MuNuR_NHITS,Track number of hits.; Return contained value of optional or specified default if optional is empty
MuNuR_NUTHITS,Number of UT hits.; Return contained value of optional or specified default if optional is empty
MuNuR_NVPHITS,Number of VP hits.; Return contained value of optional or specified default if optional is empty
MuNuR_NVPHITSA,Return number of hits in VELO A-side; Return contained value of optional or specified default if optional is empty
MuNuR_NVPHITSC,Return number of hits in VELO C-side; Return contained value of optional or specified default if optional is empty
MuNuR_NVPHOLES,Return number of holes in VELO of track as defined by HitPattern; Return contained value of optional or specified default if optional is empty
MuNuR_NVPLAYERS,Return number of VELO layers of track as defined by HitPattern; Return contained value of optional or specified default if optional is empty
MuNuR_OWNPVIP,Impact parameter with respect to the OWNPV()
MuNuR_OWNPVIPCHI2,Impact parameter chi2 with respect to the OWNPV()
MuNuR_OWNPVNDOF,Number of degrees of freedom [for chi2]; Return contained value of optional or specified default if optional is empty
MuNuR_OWNPVX,X-coordinate of the PV associated to the particle
MuNuR_OWNPVY,Y-coordinate of the PV associated to the particle
MuNuR_OWNPVZ,Z-coordinate of the PV associated to the particle
MuNuR_P,Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
MuNuR_PARTICLE_ID,Particle ID (PDG code)
MuNuR_PHI,Get the phi coordinate of a slope (see SLOPES() for definition).
MuNuR_PIDK,Gives measure of the kaon mass hypothesis relative to the pion hypotesis.
MuNuR_PIDPi,CombDLLpi. Should be peaked at zero.
MuNuR_PIDe,Gives measure of the electron mass hypothesis relative to the pion hypotesis.
MuNuR_PIDmu,Gives measure of the muon mass hypothesis relative to the pion hypotesis.
MuNuR_PIDp,Gives measure of the proton mass hypothesis relative to the pion hypotesis.
MuNuR_POSITION_STATEAT_FirstMeasurement_X,X position at first measurement state
MuNuR_POSITION_STATEAT_FirstMeasurement_Y,Y position at first measurement state
MuNuR_POSITION_STATEAT_FirstMeasurement_Z,Z position at first measurement state
MuNuR_POSITION_STATEAT_LastMeasurement_X,X position at last measurement state
MuNuR_POSITION_STATEAT_LastMeasurement_Y,Y position at last measurement state
MuNuR_POSITION_STATEAT_LastMeasurement_Z,Z position at last measurement state
MuNuR_PPHASRICH,ProtoParticle has RICH info; Return contained value of optional or specified default if optional is empty
MuNuR_PROBNN_D,MVA probability for deuteron hypothesis
MuNuR_PROBNN_E,MVA probability for electron hypothesis
MuNuR_PROBNN_GHOST,MVA probability for ghost track hypothesis
MuNuR_PROBNN_K,MVA probability for kaon hypothesis
MuNuR_PROBNN_MU,MVA probability for muon hypothesis
MuNuR_PROBNN_P,MVA probability for proton hypothesis
MuNuR_PROBNN_PI,MVA probability for pion hypothesis
MuNuR_PT,Get the transverse momentum (see THREEMOMENTUM() for definition).
MuNuR_PX,Get the X-coordinate of the momentum (see THREEMOMENTUM() for definition).
MuNuR_PY,Get the Y-coordinate of the momentum (see THREEMOMENTUM() for definition).
MuNuR_PZ,Get the Z-coordinate of the momentum (see THREEMOMENTUM() for definition).
MuNuR_Q,Compute the charge
MuNuR_QOVERP,q/p
MuNuR_THETA,Get the theta coordinate of a slope (see SLOPES() for definition).
MuNuR_TRACKHAST,"Returns True if track has hits in T stations, False otherwise; Return contained value of optional or specified default if optional is empty"
MuNuR_TRACKHASUT,"Returns True if track has hits in UT detector, False otherwise; Return contained value of optional or specified default if optional is empty"
MuNuR_TRACKHASVELO,"Returns True if track has hits in Velo, False otherwise; Return contained value of optional or specified default if optional is empty"
MuNuR_TRACKHISTORY,ComposedBoundFunctor:; Return contained value of optional or specified default if optional is empty
MuNuR_TRACKPT,Get the transverse momentum of a track (see TRACK() for definition)
MuNuR_TRCHI2,Vertex or track chi^2.
MuNuR_TRCHI2DOF,Vertex or track chi^2 per degrees of freedom.
MuNuR_TRNDOF,Number of degrees of freedom [for chi2]; Return contained value of optional or specified default if optional is empty
MuNuR_TX,Get the X-coordinate of the slope (see SLOPES() for definition).
MuNuR_TY,Get the Y-coordinate of the slope (see SLOPES() for definition).
MuNuR_log_P,Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
MuNuR_log_PT,Get the transverse momentum (see THREEMOMENTUM() for definition).
Mu_ALLPV_IP,Impact parameter with respect to all primary vertices
Mu_ALLPV_IPCHI2,Impact parameter chi2 with respect to all primary vertices
Mu_BREMBENDCORR,Correction factor accounting for bending biases in track due to brem
Mu_BREMENERGY,Brem momentum-recovery energy
Mu_BREMHYPOAREA,Area code of brem CaloHypo CellID
Mu_BREMHYPOCOL,Column code of brem CaloHypo CellID
Mu_BREMHYPODELTAX,Test statistic of being first-state like of CaloHypo (photon) for brem recovery
Mu_BREMHYPOENERGY,Energy of CaloHypo (photon) associated to track for brem recovery
Mu_BREMHYPOID,All significant bits representation of CellID (32bits) for CaloHypo (photon) associated to track for brem recovery
Mu_BREMHYPOMATCH_CHI2,2D chi2 of CaloHypo (photon) associated to track for brem recovery
Mu_BREMHYPOROW,Row code of brem CaloHypo CellID
Mu_BREMPIDE,Brem-based DLL for electron-ID
Mu_BREMTRACKBASEDENERGY,Track-based brem energy determination
Mu_CLUSTERAREA,Area code of best matching cluster CellID
Mu_CLUSTERCOL,Column code of best matching cluster CellID
Mu_CLUSTERID,CellID.all() of the best matching cluster for a given reconstructed track
Mu_CLUSTERMATCH_CHI2,CaloID estimator: 2D chi2 for Track/CaloCluster matching (neutral + charged)
Mu_CLUSTERROW,Row code of best matching cluster CellID
Mu_CaloClusterMass,Retrieve the CALO cluster mass obtained from MergedPi0Alg
Mu_CaloNeutral1To9EnergyRatio,Fraction of highest E cell (seed) to 9 (3x3) cells forming the cluster
Mu_CaloNeutral4To9EnergyRatio,Fraction of highest 2x2 cell (seed) to 9 (3x3) cells forming the cluster
Mu_CaloNeutralArea,Retrieve area code of neutral CaloHypo CellID
Mu_CaloNeutralCol,Retrieve column code of neutral CaloHypo CellID
Mu_CaloNeutralEcalEnergy,Retrieve the ECAL cluster energy associated to the neutral CaloHypo
Mu_CaloNeutralHcal2EcalEnergyRatio,Retrieve the HCAL/ECAL energy ratio associated to the neutral CaloHypo
Mu_CaloNeutralID,Retrieve bitwise information (32bits) of all CALO neutral seed CellIDs
Mu_CaloNeutralRow,Retrieve row code of neutral CaloHypo CellID
Mu_CaloNeutralShowerShape,CaloID estimator: 2nd order moment of the cluster (shower width)
Mu_CaloNumSaturatedCells,Number of saturated cells in calorimeter
Mu_CaloTrackMatchChi2,Chi2 of track-calorimeter cluster match
Mu_E,Get the energy (see FOURMOMENTUM() for definition).
Mu_ECALPIDE,Ecal-based DLL for electron-ID
Mu_ECALPIDMU,Ecal-based DLL for mu-ID
Mu_ELECTRONAREA,Area code of electron CaloHypo CellID
Mu_ELECTRONCOL,Column code of electron CaloHypo CellID
Mu_ELECTRONENERGY,Cluster energy associated to CaloHypo (charged electron)
Mu_ELECTRONID,All significant bits representation of CellID (32bits) associated to CaloHypo seed (electron hypo)
Mu_ELECTRONMATCH_CHI2,CaloID estimator: 3D chi2 for Track/CaloHypo(e) matching (charged)
Mu_ELECTRONROW,Row code of electron CaloHypo CellID
Mu_ELECTRONSHOWERDLL,Summed per-cell E/p DLL (electron versus pion) with track-based cell selection
Mu_ELECTRONSHOWEREOP,Electron energy/momentum with track-based cell selection
Mu_ETA,Get the eta (pseudorapidity) coordinate of a slope (see SLOPES() for definition).
Mu_GHOSTPROB,Track ghost probability (see TRACK() for definition).
Mu_HASBREM,Has non-zero brem momentum-recovery energy
Mu_HASBREMADDED,Has non-zero brem momentum-recovery energy added (using Particle class flag)
Mu_HCALEOP,Hcal energy deposit over momentum (track)
Mu_HCALPIDE,Hcal-based DLL for electron-ID
Mu_HCALPIDMU,Hcal-based DLL for mu-ID
Mu_Hlt1DiMuonHighMassDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1DiMuonHighMassDecision
Mu_Hlt1DiMuonHighMassDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1DiMuonHighMassDecision
Mu_Hlt1DiMuonLowMassDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1DiMuonLowMassDecision
Mu_Hlt1DiMuonLowMassDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1DiMuonLowMassDecision
Mu_Hlt1DiMuonNoIPDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1DiMuonNoIPDecision
Mu_Hlt1DiMuonNoIPDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1DiMuonNoIPDecision
Mu_Hlt1DiMuonNoIP_SSDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1DiMuonNoIP SSDecision
Mu_Hlt1DiMuonNoIP_SSDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1DiMuonNoIP SSDecision
Mu_Hlt1DiMuonSoftDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1DiMuonSoftDecision
Mu_Hlt1DiMuonSoftDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1DiMuonSoftDecision
Mu_Hlt1GlobalDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1GlobalDecision
Mu_Hlt1GlobalDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1GlobalDecision
Mu_Hlt1LowPtDiMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1LowPtDiMuonDecision
Mu_Hlt1LowPtDiMuonDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1LowPtDiMuonDecision
Mu_Hlt1LowPtMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1LowPtMuonDecision
Mu_Hlt1LowPtMuonDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1LowPtMuonDecision
Mu_Hlt1PhysDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1PhysDecision
Mu_Hlt1PhysDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1PhysDecision
Mu_Hlt1SingleHighPtMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1SingleHighPtMuonDecision
Mu_Hlt1SingleHighPtMuonDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1SingleHighPtMuonDecision
Mu_Hlt1TrackMVADecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1TrackMVADecision
Mu_Hlt1TrackMVADecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1TrackMVADecision
Mu_Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision
Mu_Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision
Mu_Hlt1TrackMuonMVADecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt1TrackMuonMVADecision
Mu_Hlt1TrackMuonMVADecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt1TrackMuonMVADecision
Mu_Hlt2QEE_DiJetIncSVTag_pT25M40FullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiJetIncSVTag pT25M40FullDecision
Mu_Hlt2QEE_DiJetIncSVTag_pT25M40FullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiJetIncSVTag pT25M40FullDecision
Mu_Hlt2QEE_DiSVTagJet10GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiSVTagJet10GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet10GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiSVTagJet10GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiSVTagJet15GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiSVTagJet15GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet20GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiSVTagJet20GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet20GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiSVTagJet20GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiSVTagJet25GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiSVTagJet25GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet30GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiSVTagJet30GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet30GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiSVTagJet30GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiSVTagJet35GeVFullDecision
Mu_Hlt2QEE_DiSVTagJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiSVTagJet35GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet10GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiTopoTagJet10GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet10GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiTopoTagJet10GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiTopoTagJet15GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiTopoTagJet15GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet20GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiTopoTagJet20GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet20GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiTopoTagJet20GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiTopoTagJet25GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiTopoTagJet25GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet30GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiTopoTagJet30GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet30GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiTopoTagJet30GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE DiTopoTagJet35GeVFullDecision
Mu_Hlt2QEE_DiTopoTagJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE DiTopoTagJet35GeVFullDecision
Mu_Hlt2QEE_IncJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE IncJet15GeVFullDecision
Mu_Hlt2QEE_IncJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE IncJet15GeVFullDecision
Mu_Hlt2QEE_IncJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE IncJet25GeVFullDecision
Mu_Hlt2QEE_IncJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE IncJet25GeVFullDecision
Mu_Hlt2QEE_IncJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE IncJet35GeVFullDecision
Mu_Hlt2QEE_IncJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE IncJet35GeVFullDecision
Mu_Hlt2QEE_IncJet45GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE IncJet45GeVFullDecision
Mu_Hlt2QEE_IncJet45GeVFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE IncJet45GeVFullDecision
Mu_Hlt2QEE_SingleHighPtElectronFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE SingleHighPtElectronFullDecision
Mu_Hlt2QEE_SingleHighPtElectronFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE SingleHighPtElectronFullDecision
Mu_Hlt2QEE_SingleHighPtMuonFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE SingleHighPtMuonFullDecision
Mu_Hlt2QEE_SingleHighPtMuonFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE SingleHighPtMuonFullDecision
Mu_Hlt2QEE_SingleHighPtMuonIsoFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE SingleHighPtMuonIsoFullDecision
Mu_Hlt2QEE_SingleHighPtMuonIsoFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE SingleHighPtMuonIsoFullDecision
Mu_Hlt2QEE_SingleHighPtMuonNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE SingleHighPtMuonNoMuIDFullDecision
Mu_Hlt2QEE_SingleHighPtMuonNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE SingleHighPtMuonNoMuIDFullDecision
Mu_Hlt2QEE_SingleVHighPtElectronFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE SingleVHighPtElectronFullDecision
Mu_Hlt2QEE_SingleVHighPtElectronFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE SingleVHighPtElectronFullDecision
Mu_Hlt2QEE_ZToMuMu_DoubleNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE ZToMuMu DoubleNoMuIDFullDecision
Mu_Hlt2QEE_ZToMuMu_DoubleNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE ZToMuMu DoubleNoMuIDFullDecision
Mu_Hlt2QEE_ZToMuMu_SingleNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for Mu Hlt2QEE ZToMuMu SingleNoMuIDFullDecision
Mu_Hlt2QEE_ZToMuMu_SingleNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for Mu Hlt2QEE ZToMuMu SingleNoMuIDFullDecision
Mu_ID,Particle ID of a Particle or MCParticle.
Mu_INBREM,In Brem acceptance
Mu_INECAL,In Ecal acceptance
Mu_INHCAL,In Hcal acceptance
Mu_INMUON,InAcceptance. Functor’s call operator expects a particle-like object.
Mu_ISCLONE,Track flag contains Clone; Return contained value of optional or specified default if optional is empty
Mu_ISDOWNSTREAM,Track type is Downstream; Return contained value of optional or specified default if optional is empty
Mu_ISLONG,Track type is Long; Return contained value of optional or specified default if optional is empty
Mu_ISMUON,IsMuon. Functor’s call operator expects a particle-like object.
Mu_ISMUONTIGHT,IsMuonTight. Functor’s call operator expects a particle-like object.
Mu_ISTTRACK,Track type is Ttrack; Return contained value of optional or specified default if optional is empty
Mu_ISUPSTREAM,Track type is Upstream; Return contained value of optional or specified default if optional is empty
Mu_ISVELO,Track type is Velo; Return contained value of optional or specified default if optional is empty
Mu_Key,Key of the KeyedObject.
Mu_M,Get the particle (composite or basic) mass.
Mu_MINIP,Miniumum impact parameter with respect to the given vertices.
Mu_MINIPCHI2,Miniumum impact parameter chi2 with respect to the given vertices.
Mu_NFTHITS,Number of FT hits.; Return contained value of optional or specified default if optional is empty
Mu_NFTHOLES,Return number of holes in SciFi of track as defined by HitPattern; Return contained value of optional or specified default if optional is empty
Mu_NHITS,Track number of hits.; Return contained value of optional or specified default if optional is empty
Mu_NUTHITS,Number of UT hits.; Return contained value of optional or specified default if optional is empty
Mu_NVPHITS,Number of VP hits.; Return contained value of optional or specified default if optional is empty
Mu_NVPHITSA,Return number of hits in VELO A-side; Return contained value of optional or specified default if optional is empty
Mu_NVPHITSC,Return number of hits in VELO C-side; Return contained value of optional or specified default if optional is empty
