Branch,Content
ODINTCK,ODIN trigger configuration key
PV_SIZE,Size of the container at the given TES location
RUNNUMBER,Run number from ODIN
SpruceQEE_Dijets1515Decision,Trigger decision: SpruceQEE Dijets1515
SpruceQEE_Dijets2020Decision,Trigger decision: SpruceQEE Dijets2020
SpruceQEE_Dijets2525Decision,Trigger decision: SpruceQEE Dijets2525
SpruceQEE_Dijets3030Decision,Trigger decision: SpruceQEE Dijets3030
SpruceQEE_Dijets3535Decision,Trigger decision: SpruceQEE Dijets3535
SpruceQEE_IncSVTagDijetsDecision,Trigger decision: SpruceQEE IncSVTagDijets
SpruceQEE_SingleHighPtElectronDecision,Trigger decision: SpruceQEE SingleHighPtElectron
SpruceQEE_SingleHighPtMuonDecision,Trigger decision: SpruceQEE SingleHighPtMuon
SpruceQEE_SingleHighPtMuonIsoDecision,Trigger decision: SpruceQEE SingleHighPtMuonIso
SpruceQEE_SingleJet15Decision,Trigger decision: SpruceQEE SingleJet15
SpruceQEE_SingleJet25Decision,Trigger decision: SpruceQEE SingleJet25
SpruceQEE_SingleJet35Decision,Trigger decision: SpruceQEE SingleJet35
SpruceQEE_SingleJet45Decision,Trigger decision: SpruceQEE SingleJet45
SpruceQEE_SingleVHighPtElectronDecision,Trigger decision: SpruceQEE SingleVHighPtElectron
SpruceQEE_WJetDecision,Trigger decision: SpruceQEE WJet
SpruceQEE_WJetJetDecision,Trigger decision: SpruceQEE WJetJet
SpruceQEE_ZToMuMuDecision,Trigger decision: SpruceQEE ZToMuMu
SpruceQEE_ZToMuMu_DoubleNoMuIDDecision,Trigger decision: SpruceQEE ZToMuMu DoubleNoMuID
SpruceQEE_ZToMuMu_SingleNoMuIDDecision,Trigger decision: SpruceQEE ZToMuMu SingleNoMuID
SpruceQEE_diSVTag1010Decision,Trigger decision: SpruceQEE diSVTag1010
SpruceQEE_diSVTag1515Decision,Trigger decision: SpruceQEE diSVTag1515
SpruceQEE_diSVTag2020Decision,Trigger decision: SpruceQEE diSVTag2020
SpruceQEE_diSVTag2525Decision,Trigger decision: SpruceQEE diSVTag2525
SpruceQEE_diSVTag3030Decision,Trigger decision: SpruceQEE diSVTag3030
SpruceQEE_diSVTag3535Decision,Trigger decision: SpruceQEE diSVTag3535
SpruceQEE_diTopoTag1010Decision,Trigger decision: SpruceQEE diTopoTag1010
SpruceQEE_diTopoTag1515Decision,Trigger decision: SpruceQEE diTopoTag1515
SpruceQEE_diTopoTag2020Decision,Trigger decision: SpruceQEE diTopoTag2020
SpruceQEE_diTopoTag2525Decision,Trigger decision: SpruceQEE diTopoTag2525
SpruceQEE_diTopoTag3030Decision,Trigger decision: SpruceQEE diTopoTag3030
SpruceQEE_diTopoTag3535Decision,Trigger decision: SpruceQEE diTopoTag3535
Spruce_TCK,Spruce trigger configuration key
W_ALLPV_FD,Flight distance with respect to all primary vertices
W_ALLPV_IP,Impact parameter with respect to all primary vertices
W_ALLPV_IPCHI2,Impact parameter chi2 with respect to all primary vertices
W_ALV,Compute the cosine value of angle between two decay products.
W_BPV_IPCHI2,Impact parameter Chi2 with respect to the BPV(). More precisely that means the difference in the chi2 of the PV fit (of the BPV) between including and excluding the object the function is called on.
W_BPV_LTIME,Lifetime with respect to the BPV()
W_BREMBENDCORR,Correction factor accounting for bending biases in track due to brem
W_BREMENERGY,Brem momentum-recovery energy
W_BREMHYPOAREA,Area code of brem CaloHypo CellID
W_BREMHYPOCOL,Column code of brem CaloHypo CellID
W_BREMHYPODELTAX,Test statistic of being first-state like of CaloHypo (photon) for brem recovery
W_BREMHYPOENERGY,Energy of CaloHypo (photon) associated to track for brem recovery
W_BREMHYPOID,All significant bits representation of CellID (32bits) for CaloHypo (photon) associated to track for brem recovery
W_BREMHYPOMATCH_CHI2,2D chi2 of CaloHypo (photon) associated to track for brem recovery
W_BREMHYPOROW,Row code of brem CaloHypo CellID
W_BREMPIDE,Brem-based DLL for electron-ID
W_BREMTRACKBASEDENERGY,Track-based brem energy determination
W_CLUSTERAREA,Area code of best matching cluster CellID
W_CLUSTERCOL,Column code of best matching cluster CellID
W_CLUSTERID,CellID.all() of the best matching cluster for a given reconstructed track
W_CLUSTERMATCH_CHI2,CaloID estimator: 2D chi2 for Track/CaloCluster matching (neutral + charged)
W_CLUSTERROW,Row code of best matching cluster CellID
W_CaloClusterMass,Retrieve the CALO cluster mass obtained from MergedPi0Alg
W_CaloNeutral1To9EnergyRatio,Fraction of highest E cell (seed) to 9 (3x3) cells forming the cluster
W_CaloNeutral4To9EnergyRatio,Fraction of highest 2x2 cell (seed) to 9 (3x3) cells forming the cluster
W_CaloNeutralArea,Retrieve area code of neutral CaloHypo CellID
W_CaloNeutralCol,Retrieve column code of neutral CaloHypo CellID
W_CaloNeutralEcalEnergy,Retrieve the ECAL cluster energy associated to the neutral CaloHypo
W_CaloNeutralHcal2EcalEnergyRatio,Retrieve the HCAL/ECAL energy ratio associated to the neutral CaloHypo
W_CaloNeutralID,Retrieve bitwise information (32bits) of all CALO neutral seed CellIDs
W_CaloNeutralRow,Retrieve row code of neutral CaloHypo CellID
W_CaloNeutralShowerShape,CaloID estimator: 2nd order moment of the cluster (shower width)
W_CaloNumSaturatedCells,Number of saturated cells in calorimeter
W_CaloTrackMatchChi2,Chi2 of track-calorimeter cluster match
W_DOCA12,
W_DOCA12CHI2,
W_E,Get the energy (see FOURMOMENTUM() for definition).
W_ECALPIDE,Ecal-based DLL for electron-ID
W_ECALPIDMU,Ecal-based DLL for mu-ID
W_ELECTRONAREA,Area code of electron CaloHypo CellID
W_ELECTRONCOL,Column code of electron CaloHypo CellID
W_ELECTRONENERGY,Cluster energy associated to CaloHypo (charged electron)
W_ELECTRONID,All significant bits representation of CellID (32bits) associated to CaloHypo seed (electron hypo)
W_ELECTRONMATCH_CHI2,CaloID estimator: 3D chi2 for Track/CaloHypo(e) matching (charged)
W_ELECTRONROW,Row code of electron CaloHypo CellID
W_ELECTRONSHOWERDLL,Summed per-cell E/p DLL (electron versus pion) with track-based cell selection
W_ELECTRONSHOWEREOP,Electron energy/momentum with track-based cell selection
W_END_VX,Get the X-coordinate of the ENDVERTEX() of a particle.
W_END_VY,Get the Y-coordinate of the ENDVERTEX() of a particle.
W_END_VZ,Get the Z–coordinate of the ENDVERTEX() of a particle.
W_ETA,Get the eta (pseudorapidity) coordinate of a slope (see SLOPES() for definition).
W_HASBREM,Has non-zero brem momentum-recovery energy
W_HASBREMADDED,Has non-zero brem momentum-recovery energy added (using Particle class flag)
W_HCALEOP,Hcal energy deposit over momentum (track)
W_HCALPIDE,Hcal-based DLL for electron-ID
W_HCALPIDMU,Hcal-based DLL for mu-ID
W_Hlt1DiMuonHighMassDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1DiMuonHighMassDecision
W_Hlt1DiMuonHighMassDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1DiMuonHighMassDecision
W_Hlt1DiMuonLowMassDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1DiMuonLowMassDecision
W_Hlt1DiMuonLowMassDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1DiMuonLowMassDecision
W_Hlt1DiMuonNoIPDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1DiMuonNoIPDecision
W_Hlt1DiMuonNoIPDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1DiMuonNoIPDecision
W_Hlt1DiMuonNoIP_SSDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1DiMuonNoIP SSDecision
W_Hlt1DiMuonNoIP_SSDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1DiMuonNoIP SSDecision
W_Hlt1DiMuonSoftDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1DiMuonSoftDecision
W_Hlt1DiMuonSoftDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1DiMuonSoftDecision
W_Hlt1GlobalDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1GlobalDecision
W_Hlt1GlobalDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1GlobalDecision
W_Hlt1LowPtDiMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1LowPtDiMuonDecision
W_Hlt1LowPtDiMuonDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1LowPtDiMuonDecision
W_Hlt1LowPtMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1LowPtMuonDecision
W_Hlt1LowPtMuonDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1LowPtMuonDecision
W_Hlt1PhysDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1PhysDecision
W_Hlt1PhysDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1PhysDecision
W_Hlt1SingleHighPtMuonDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1SingleHighPtMuonDecision
W_Hlt1SingleHighPtMuonDecision_TOS,Trigger on Signal (TOS) flag for W Hlt1SingleHighPtMuonDecision
W_Hlt1TrackMVADecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1TrackMVADecision
W_Hlt1TrackMVADecision_TOS,Trigger on Signal (TOS) flag for W Hlt1TrackMVADecision
W_Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision
W_Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision_TOS,Trigger on Signal (TOS) flag for W Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision
W_Hlt1TrackMuonMVADecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt1TrackMuonMVADecision
W_Hlt1TrackMuonMVADecision_TOS,Trigger on Signal (TOS) flag for W Hlt1TrackMuonMVADecision
W_Hlt2QEE_DiJetIncSVTag_pT25M40FullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiJetIncSVTag pT25M40FullDecision
W_Hlt2QEE_DiJetIncSVTag_pT25M40FullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiJetIncSVTag pT25M40FullDecision
W_Hlt2QEE_DiSVTagJet10GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiSVTagJet10GeVFullDecision
W_Hlt2QEE_DiSVTagJet10GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiSVTagJet10GeVFullDecision
W_Hlt2QEE_DiSVTagJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiSVTagJet15GeVFullDecision
W_Hlt2QEE_DiSVTagJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiSVTagJet15GeVFullDecision
W_Hlt2QEE_DiSVTagJet20GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiSVTagJet20GeVFullDecision
W_Hlt2QEE_DiSVTagJet20GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiSVTagJet20GeVFullDecision
W_Hlt2QEE_DiSVTagJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiSVTagJet25GeVFullDecision
W_Hlt2QEE_DiSVTagJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiSVTagJet25GeVFullDecision
W_Hlt2QEE_DiSVTagJet30GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiSVTagJet30GeVFullDecision
W_Hlt2QEE_DiSVTagJet30GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiSVTagJet30GeVFullDecision
W_Hlt2QEE_DiSVTagJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiSVTagJet35GeVFullDecision
W_Hlt2QEE_DiSVTagJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiSVTagJet35GeVFullDecision
W_Hlt2QEE_DiTopoTagJet10GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiTopoTagJet10GeVFullDecision
W_Hlt2QEE_DiTopoTagJet10GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiTopoTagJet10GeVFullDecision
W_Hlt2QEE_DiTopoTagJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiTopoTagJet15GeVFullDecision
W_Hlt2QEE_DiTopoTagJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiTopoTagJet15GeVFullDecision
W_Hlt2QEE_DiTopoTagJet20GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiTopoTagJet20GeVFullDecision
W_Hlt2QEE_DiTopoTagJet20GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiTopoTagJet20GeVFullDecision
W_Hlt2QEE_DiTopoTagJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiTopoTagJet25GeVFullDecision
W_Hlt2QEE_DiTopoTagJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiTopoTagJet25GeVFullDecision
W_Hlt2QEE_DiTopoTagJet30GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiTopoTagJet30GeVFullDecision
W_Hlt2QEE_DiTopoTagJet30GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiTopoTagJet30GeVFullDecision
W_Hlt2QEE_DiTopoTagJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE DiTopoTagJet35GeVFullDecision
W_Hlt2QEE_DiTopoTagJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE DiTopoTagJet35GeVFullDecision
W_Hlt2QEE_IncJet15GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE IncJet15GeVFullDecision
W_Hlt2QEE_IncJet15GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE IncJet15GeVFullDecision
W_Hlt2QEE_IncJet25GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE IncJet25GeVFullDecision
W_Hlt2QEE_IncJet25GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE IncJet25GeVFullDecision
W_Hlt2QEE_IncJet35GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE IncJet35GeVFullDecision
W_Hlt2QEE_IncJet35GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE IncJet35GeVFullDecision
W_Hlt2QEE_IncJet45GeVFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE IncJet45GeVFullDecision
W_Hlt2QEE_IncJet45GeVFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE IncJet45GeVFullDecision
W_Hlt2QEE_SingleHighPtElectronFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE SingleHighPtElectronFullDecision
W_Hlt2QEE_SingleHighPtElectronFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE SingleHighPtElectronFullDecision
W_Hlt2QEE_SingleHighPtMuonFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE SingleHighPtMuonFullDecision
W_Hlt2QEE_SingleHighPtMuonFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE SingleHighPtMuonFullDecision
W_Hlt2QEE_SingleHighPtMuonIsoFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE SingleHighPtMuonIsoFullDecision
W_Hlt2QEE_SingleHighPtMuonIsoFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE SingleHighPtMuonIsoFullDecision
W_Hlt2QEE_SingleHighPtMuonNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE SingleHighPtMuonNoMuIDFullDecision
W_Hlt2QEE_SingleHighPtMuonNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE SingleHighPtMuonNoMuIDFullDecision
W_Hlt2QEE_SingleVHighPtElectronFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE SingleVHighPtElectronFullDecision
W_Hlt2QEE_SingleVHighPtElectronFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE SingleVHighPtElectronFullDecision
W_Hlt2QEE_ZToMuMu_DoubleNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE ZToMuMu DoubleNoMuIDFullDecision
W_Hlt2QEE_ZToMuMu_DoubleNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE ZToMuMu DoubleNoMuIDFullDecision
W_Hlt2QEE_ZToMuMu_SingleNoMuIDFullDecision_TIS,Trigger Independent of Signal (TIS) flag for W Hlt2QEE ZToMuMu SingleNoMuIDFullDecision
W_Hlt2QEE_ZToMuMu_SingleNoMuIDFullDecision_TOS,Trigger on Signal (TOS) flag for W Hlt2QEE ZToMuMu SingleNoMuIDFullDecision
W_ID,Particle ID of a Particle or MCParticle.
W_INBREM,In Brem acceptance
W_INECAL,In Ecal acceptance
W_INHCAL,In Hcal acceptance
W_KEY,Key of the KeyedObject.; Return contained value of optional or specified default if optional is empty
W_Key,Key of the KeyedObject.
W_M,Get the particle (composite or basic) mass.
W_MAX_DOCA,Compute the maximum pairwise distance of closest approach between members of a combination using IDistanceCalculator.
W_MAX_DOCACHI2,"Compute the maximum pairwise significance of the distance of closest approach, computed using an IDistanceCalculator implementation, between members of a combination."
W_MAX_MINIPCHI2,Calculate the maximum of the given functor value.; Miniumum impact parameter chi2 with respect to the given vertices.
W_MAX_OWNPVIPCHI2,Calculate the maximum of the given functor value.; Impact parameter chi2 with respect to the OWNPV()
W_MAX_P,Calculate the maximum of the given functor value.; Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
W_MAX_PT,Calculate the maximum of the given functor value.; Get the transverse momentum (see THREEMOMENTUM() for definition).
W_MAX_SDOCA,Compute the maximum pairwise distance of closest approach between members of a combination.
W_MAX_SDOCACHI2,Compute the maximum pairwise significance of the distance of closest approach between members of a combination.
W_MINIP,Miniumum impact parameter with respect to the given vertices.
W_MINIPCHI2,Miniumum impact parameter chi2 with respect to the given vertices.
W_MIN_OWNPVIPCHI2,Calculate the minimum of the given functor value.; Impact parameter chi2 with respect to the OWNPV()
W_MIN_P,Calculate the minimum of the given functor value.; Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
W_MIN_PT,Calculate the minimum of the given functor value.; Get the transverse momentum (see THREEMOMENTUM() for definition).
W_MmuWmuN,Combined mass of muon and W candidate
W_OBJECT_KEY,Key of the KeyedObject.
W_OWNPVIP,Impact parameter with respect to the OWNPV()
W_OWNPVIPCHI2,Impact parameter chi2 with respect to the OWNPV()
W_OWNPVNDOF,Number of degrees of freedom [for chi2]; Return contained value of optional or specified default if optional is empty
W_OWNPVX,X-coordinate of the PV associated to the particle
W_OWNPVY,Y-coordinate of the PV associated to the particle
W_OWNPVZ,Z-coordinate of the PV associated to the particle
W_OWNPV_DIRA,Direction angle between the three-momentum of a particle and its OWNPVFDVEC()
W_OWNPV_DLS,Decay length significance with respect to the OWNPV()
W_OWNPV_ETA,Eta-coordinate of OWNPVFDVEC()
W_OWNPV_FD,Distance between the endvertex position and the position of the PV associated to a particle
W_OWNPV_FDCHI2,Flight distance chi2 with respect to the OWNPV()
W_OWNPV_FDIRX,X-component of unit flight direction vector with respect to own PV
W_OWNPV_FDIRY,Y-component of unit flight direction vector with respect to own PV
W_OWNPV_FDIRZ,Z-component of unit flight direction vector with respect to own PV
W_OWNPV_FDVECX,X-component of flight distance vector with respect to own PV
W_OWNPV_FDVECY,Y-component of flight distance vector with respect to own PV
W_OWNPV_FDVECZ,Z-component of flight distance vector with respect to own PV
W_OWNPV_LTIME,Lifetime with respect to the OWNPV()
W_OWNPV_VDRHO,Rho-coordinate of OWNPVFDVEC()
W_OWNPV_VDX,Distance along the x-axis between the endvertex and the PV associated to a particle
W_OWNPV_VDY,Distance along the y-axis between the endvertex and the PV associated to a particle
W_OWNPV_VDZ,Distance along the z-axis between the endvertex and the PV associated to a particle
W_P,Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
W_PARTICLE_ID,Particle ID (PDG code)
W_PHI,Get the phi coordinate of a slope (see SLOPES() for definition).
W_PROBNN_D,MVA probability for deuteron hypothesis
W_PROBNN_E,MVA probability for electron hypothesis
W_PROBNN_GHOST,MVA probability for ghost track hypothesis
W_PROBNN_K,MVA probability for kaon hypothesis
W_PROBNN_MU,MVA probability for muon hypothesis
W_PROBNN_P,MVA probability for proton hypothesis
W_PROBNN_PI,MVA probability for pion hypothesis
W_PT,Get the transverse momentum (see THREEMOMENTUM() for definition).
W_PX,Get the X-coordinate of the momentum (see THREEMOMENTUM() for definition).
W_PY,Get the Y-coordinate of the momentum (see THREEMOMENTUM() for definition).
W_PZ,Get the Z-coordinate of the momentum (see THREEMOMENTUM() for definition).
W_Q,Compute the charge
W_SDOCA12,
W_SUM_MINIPCHI2,Calculate the [scalar] sum of the given functor value.; Miniumum impact parameter chi2 with respect to the given vertices.
W_SUM_OWNPVIPCHI2,Calculate the [scalar] sum of the given functor value.; Impact parameter chi2 with respect to the OWNPV()
W_SUM_P,Calculate the [scalar] sum of the given functor value.; Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
W_SUM_PT,Calculate the [scalar] sum of the given functor value.; Get the transverse momentum (see THREEMOMENTUM() for definition).
W_THETA,Get the theta coordinate of a slope (see SLOPES() for definition).
W_VTXCHI2,Vertex or track chi^2.
W_VTXCHI2NDOF,Vertex or track chi^2 per degrees of freedom.
W_log_MAX_P,Calculate the maximum of the given functor value.
W_log_MAX_PT,Calculate the maximum of the given functor value.
W_log_MIN_P,Calculate the minimum of the given functor value.
W_log_MIN_PT,Calculate the minimum of the given functor value.
W_log_P,Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
W_log_PT,Get the transverse momentum (see THREEMOMENTUM() for definition).
W_log_SUM_P,Calculate the [scalar] sum of the given functor value.
W_log_SUM_PT,Calculate the [scalar] sum of the given functor value.
nBackTracks,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nDownstreamTracks,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nEcalClusters,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nFTClusters,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nLongTracks,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nPVs,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nRich1Hits,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nRich2Hits,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nTTracks,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nUTClusters,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nUpstreamTracks,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nVPClusters,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
nVeloTracks,Extracts DataType information from LHCb::RecSummary.DataType; Return contained value of optional or specified default if optional is empty
