Function,Discription
MUONCATBOOST,CatBoost. Functor’s call operator expects a particle-like object.
MUONCHI2CORR,MuonChi2Corr. Functor’s call operator expects a particle-like object.
MUONLHCBIDOVERLAP,Return the overlap in Muon LHCbIDs between a Particle and the Particle in a container of Particles with the highest overlap in LHCbIDs Args: Particles: DataHandle of container of Particles to search for largest overlap VPFrac: Minimum overlap fraction in VP to be considered for best overlap UTFrac: Minimum overlap fraction in UT to be considered for best overlap FTFrac: Minimum overlap fraction in FT to be considered for best overlap MuonFrac: Minimum overlap fraction in the Muon to be considered for best overlap UseMuonNeighbours: Use neighbouring muon hits for overlap check
MUONLHCBIDOVERLAPWITHNEIGHBOURS,"Return the overlap in Muon LHCbIDs between a Particle and the Particle in a container of Particles with the highest overlap in LHCbIDs, taking neighboring Muon hits into account for the overlap Args: Particles: DataHandle of container of Particles to search for largest overlap VPFrac: Minimum overlap fraction in VP to be considered for best overlap UTFrac: Minimum overlap fraction in UT to be considered for best overlap FTFrac: Minimum overlap fraction in FT to be considered for best overlap MuonFrac: Minimum overlap fraction in the Muon to be considered for best overlap UseMuonNeighbours: Use neighbouring muon hits for overlap check"
MUONLLBG,MuonLLBg. Functor’s call operator expects a particle-like object.
MUONLLMU,MuonLLMu. Functor’s call operator expects a particle-like object.
MVA,An MVA functor using other (bound) functors as inputs.
NBODY_IPFISHER,Calculate the Fisher discriminant for a N-body decay
NDOF,Number of degrees of freedom [for chi2]
NEUTRALHYPO,Get the Neutral CaloHypo of particle.
NEUTRALHYPO_CELLENERGIES,Calo cluster cell energies of a neutral particle.
NEUTRALHYPO_CELLIDS,Calo cluster cell IDs of a neutral particle.
NFTHITS,Number of FT hits.
NFTHITSBOTTOM,Return number of hits in bottom SciFi half (quarters Q0 and Q1) of track
NFTHITSLEFT,Return number of hits in left SciFi half (quarters Q1 and Q3) of track
NFTHITSRIGHT,Return number of hits in right SciFi half (quarters Q0 and Q2) of track
NFTHITSTOP,Return number of hits in top SciFi half (quarters Q2 and Q3) of track
NFTHOLES,Return number of holes in SciFi of track as defined by HitPattern
NHITS,Track number of hits.
NHITSINMUON,Size of the container at the given TES location
NINGENERATION,Evaluates the number of particles in a decay tree satisfying the predicate at the given depth (see GET_GENERATION() for definition)
NINTREE,Evaluates the number of particles in a decay tree satisfying the predicate (see GET_ALL_DESCENDANTS() for definition)
NONE,Accept nothing; always evaluates to ‘false’.
NONLINEAR_DOCA,"Compute the distance of closest approach between two track-like objects using the TrajPoca algorithm with a user-defined TrackStateProvider tool. The starting point for the minimisation z_init is computed as y-z interception. In case, if the computed z_init is outside of the range [StateParameters::ZEndVelo, StateParameters::ZEndRich2], the StateParameters::ZMidMag is used instead."
NONLINEAR_POCA,"Compute the position of closest approach between two track-like objects using the TrajPoca with a user-defined TrackStateProvider tool. The starting point for the minimisation z_init is computed as y-z interception. In case, if the computed z_init is outside of the range [StateParameters::ZEndVelo, StateParameters::ZEndRich2], the StateParameters::ZMidMag is used instead."
NORMEDDOT,Evaluates dot product of two unit vectors
NORMEDDOT_3D,"Calculates the cosine of angle between two 3-vectors. If passed vectors are 4-vectors, the functor will use only coordinate part."
NPRVELO3DEXPECT,Number of expected Velo clusters from VELO 3D pattern recognition.
NUTHITS,Number of UT hits.
NUTLAYERS,Return number of fired layers in UT of track as defined by HitPattern Functor’s call operator expects a track-like object.
NVPHITS,Number of VP hits.
NVPHITSA,Return number of hits in VELO A-side
NVPHITSC,Return number of hits in VELO C-side
NVPHOLES,Return number of holes in VELO of track as defined by HitPattern
NVPLAYERS,Return number of VELO layers of track as defined by HitPattern
NVPOVERLAP,Return number of station overlaps in VELO as defined by HitPattern of a track
OBJECT_KEY,Key of the KeyedObject.
ODINTCK,Extracts ODIN TCK from ODIN
ORIGIN_VX,Get the x position of the origin vertex of a MCParticle.
ORIGIN_VY,Get the y position of the origin vertex of a MCParticle.
ORIGIN_VZ,Get the z position of the origin vertex of a MCParticle.
OWNPV,Get PV associated to particle.
OWNPVDIRA,Direction angle between the three-momentum of a particle and its OWNPVFDVEC()
OWNPVDLS,Decay length significance with respect to the OWNPV()
OWNPVETA,Eta-coordinate of OWNPVFDVEC()
OWNPVFD,Distance between the endvertex position and the position of the PV associated to a particle
OWNPVFDCHI2,Flight distance chi2 with respect to the OWNPV()
OWNPVFDIR,Unity vector of OWNPVFDVEC()
OWNPVFDVEC,Three-vector distance between the endvertex position and the position of the PV associated to a particle
OWNPVIP,Impact parameter with respect to the OWNPV()
OWNPVIPCHI2,Impact parameter chi2 with respect to the OWNPV()
OWNPVLTIME,Lifetime with respect to the OWNPV()
OWNPVLTIME_WITH_ERROR,Lifetime and variance with respect to the OWNPV()
OWNPVVDRHO,Rho-coordinate of OWNPVFDVEC()
OWNPVVDX,Distance along the x-axis between the endvertex and the PV associated to a particle
OWNPVVDY,Distance along the y-axis between the endvertex and the PV associated to a particle
OWNPVVDZ,Distance along the z-axis between the endvertex and the PV associated to a particle
OWNPVX,X-coordinate of the PV associated to the particle
OWNPVY,Y-coordinate of the PV associated to the particle
OWNPVZ,Z-coordinate of the PV associated to the particle
OWNPV_POS,Position of OWNPV(). Functor’s call operator expects a particle-like object.
P,Get the magnitude of the momentum vector (see THREEMOMENTUM() for definition).
PARTICLE_ID,Particle ID of a Particle or MCParticle.
PARTICLE_ID_OBJ,Get the particleID object of a particle.
PARTICLE_PARAMS_CTAU,Returns the c*tau of Gaudi::Math::ParticleParams
PARTICLE_PARAMS_FLIGHT_DISTANCE,Returns the flight distance of Gaudi::Math::ParticleParams
PARTICLE_PARAMS_LEN_MOM_COV,Returns the “Matrix” with correlation errors between momentum and decay length from Gaudi::Math::ParticleParams
PARTICLE_PARAMS_LEN_POS_COV,Returns the “Matrix” with correlation errors between position and decay length from Gaudi::Math::ParticleParams
PARTICLE_PROPERTY,Get the particle properties of the specific ID (string representation)
PARTICLE_PROPERTY_WITH_SMALLEST_DELTACHI2,"Evaluates the particle property express by the functor of the related particle with the smallest delta chi2, defined as the absolute difference of the chi2 of the related particle and the reference one given a relation table"
PDG_MASS,"Get the PDG mass given the specific ID (string representation), e.g. PDG_MASS(“pi+”)"
PERR2,Returns the square of the uncertainty on the momentum of a particle
PHI,Get the phi coordinate of a slope (see SLOPES() for definition).
PHI_COORDINATE,Get phi coordinate. Functor to be used in composition.
PID_E,Gives measure of the electron mass hypothesis relative to the pion hypotesis.
PID_K,Gives measure of the kaon mass hypothesis relative to the pion hypotesis.
PID_MU,Gives measure of the muon mass hypothesis relative to the pion hypotesis.
PID_P,Gives measure of the proton mass hypothesis relative to the pion hypotesis.
PID_PI,CombDLLpi. Should be peaked at zero.
POISON,"Impersonate a functor, but, when invoked, throw an exception with the provided message"
POSITION,Get the position of an object.
POSITION_X,Get the X-coordinate of the POSITION()
POSITION_Y,Get the Y-coordinate of the POSITION()
POSITION_Z,Get the Z-coordinate of the POSITION()
POS_COV_MATRIX,"Get the covariance matrix for (x, y, z)"
PPHASMUONINFO,ProtoParticle has MUON info
PPHASRICH,ProtoParticle has RICH info
PROBNN_D,MVA technique to establish deuterium mass hypothesis which keep in consideration the correlation between detector systems and includes tracking information.
PROBNN_E,MVA technique to establish electron mass hypothesis which keep in consideration the correlation between detector systems and includes tracking information.
PROBNN_GHOST,MVA technique to establish ghost tracks hypothesis which keep in consideration the correlation between detector systems and includes tracking information.
PROBNN_K,MVA technique to establish kaon mass hypothesis which keep in consideration the correlation between detector systems and includes tracking information.
PROBNN_MU,MVA technique to establish muon mass hypothesis which keep in consideration the correlation between detector systems and includes tracking information.
PROBNN_P,MVA technique to establish proton mass hypothesis which keep in consideration the correlation between detector systems and includes tracking information.
PROBNN_PI,MVA technique to establish pion mass hypothesis which keep in consideration the correlation between detector systems and includes tracking information.
PROTOPARTICLE,Get the ProtoParticle from a Particle
PT,Get the transverse momentum (see THREEMOMENTUM() for definition).
PT_WITH_BREM,Get the transverse momentum of a track with brem correction
PVTRACKS,Tracks from vertex fit
PX,Get the X-coordinate of the momentum (see THREEMOMENTUM() for definition).
PY,Get the Y-coordinate of the momentum (see THREEMOMENTUM() for definition).
PZ,Get the Z-coordinate of the momentum (see THREEMOMENTUM() for definition).
P_WITH_BREM,Get the magnitude of the momentum vector of a track with brem correction
QOVERP,q/p
RECSUMMARY_INFO,Extracts DataType information from LHCb::RecSummary.DataType
REFERENCEPOINT,Get the track reference point (position at which the momentum of the particle is evaluated)
REFERENCEPOINT_X,Get the X-coordinate of the reference point (see REFERENCEPOINT() for definition).
REFERENCEPOINT_Y,Get the Y-coordinate of the reference point (see REFERENCEPOINT() for definition).
REFERENCEPOINT_Z,Get the Z-coordinate of the reference point (see REFERENCEPOINT() for definition).
REF_ENDVERTEX_IP,Evaluates the impact parameter of another particle (second argument) w.r.t. the end vertex of a particle (first argument)
REF_ENDVERTEX_IPCHI2,Evaluates the impact parameter chisq of a particle (second argument) w.r.t. the end vertex of another particle (first argument)
RELATIONS,"Given a relation table, return the set of relations contained"
REQUIRE_CLOSE,"Check if the output of two functors that return floating point values are close to each other within some absolute difference and/or relative difference The condition imposed is “( F1 == F2 ) || ( &#124;F1 - F2&#124; < max( AbsDiff, RelDiff * ( &#124;F1&#124; + &#124;F2&#124; ) ) )”"
REVERSE_RANGE,Return the reversed range
RHO_COORDINATE,Get rho coordinate. Functor to be used in composition.
RICH1_GAS_USED,Rich 1 gas flag.
RICH2_GAS_USED,Rich 2 gas flag.
RICH_DLL_BT,Rich-based DLL for below threshold tracks.
RICH_DLL_D,Rich-based DLL for deuteron-ID.
RICH_DLL_E,Rich-based DLL for electron-ID.
RICH_DLL_K,Rich-based DLL for kaon-ID.
RICH_DLL_MU,Rich-based DLL for mu-ID.
RICH_DLL_P,Rich-based DLL for proton-ID.
RICH_DLL_PI,Rich-based DLL for pion-ID.
RICH_SCALED_DLL_E,Rich-based DLL for electron-ID. Scaled with monotonic function to approximate true DLL. For usage in combined DLLs (with other subdetectors).
RICH_SCALED_DLL_MU,Rich-based DLL for mu-ID. Scaled with monotonic function to approximate true DLL. For usage in combined DLLs (with other subdetectors).
RICH_THRESHOLD_DE,Rich threshold for deuterons.
RICH_THRESHOLD_EL,Rich threshold for electrons.
RICH_THRESHOLD_KA,Rich threshold for kaons.
RICH_THRESHOLD_MU,Rich threshold for muons.
RICH_THRESHOLD_PI,Rich threshold for pions.
RICH_THRESHOLD_PR,Rich threshold for protons.
RPPVIPCHI2,Evaluates the impact parameter chi2 of a particle (related one) w.r.t. the primary vertex of another particle (reference one)
RUNNUMBER,Extracts run number from ODIN
SHARE_BPV,Check whenever two particles are sharing the same BPV()
SHARE_TRACKS,Check whenever two particles are sharing the same track
SIGNED_DELTA_MASS,Get the signed difference between the reconstructed and the PDG mass (for reference see PDG_MASS()) It expects a particle-like object as input.
SINGLE,Functor to place a single object of type T into a range of T with size 1
SIZE,Size of the container at the given TES location
SIZE_OF,Get Size of input
SLOPES,"Get the slopes vector (tx=dx/dz,ty=dy/dz,1.) from a track"
SMALLEST_DELTACHI2,"Evaluates the smallest delta chi2, defined as the absolute difference of the chi2 of the related particle and the reference particle given a relation table"
SMOG_INJECTED_GAS,Get the SMOG injected gas from the Online conditions.
SMOG_INJECTION_MODE,Get the SMOG injection mode from the Online conditions.
SMOG_STABLE_INJECTION,Get the SMOG stable injection flag from the Online conditions.
SQRT,Evaluates the square root of a scalar quantity
STATES,Retrieve const Container with pointers to all the states
STATE_AT,Access the state at the requested location. Throws if state not present.
SUBCOMB,Apply a functor to a subcombination obtained from the decay produces of a composite particle
SUM,Calculate the [scalar] sum of the given functor value.
SUMCONE,Evaluates the sum of the results of the application of the functor to each particle on the TO side of the table
SUM_RANGE,Return the sum of a range of values
TCK,Extracts TCK from selection DecReports
TES,Return references to specified TES locations
THETA,Get the theta coordinate of a slope (see SLOPES() for definition).
THETA_COORDINATE,Get theta coordinate. Functor to be used in composition.
THREEMOMENTUM,3-Momentum vector.
THREE_MOM_COV_MATRIX,"Get the covariance matrix for (px, py, pz)"
THREE_MOM_POS_COV_MATRIX,"Get the covariance matrix for (px, py, pz) x (x, y, z): [(x,px), (x,py), (x,pz)] [(y,px), (y,py), (y,pz)] [(z,px), (z,py), (z,pz)]"
TO,"Given a relation, return the TO side"
TOLINALG,convert gaudi/root classes to linalg vecs.
TO_VALUE_RELATION_TABLE,Retrieve the ‘TO’ value of the relation table with protoparticles in the ‘FROM’ side (see PROTOPARTICLE() functor).
TRACK,Get the track object from a ChargedBasic
TRACKFLAG,Track flag.
TRACKHAST,"Returns True if track has hits in T stations, False otherwise"
TRACKHASUT,"Returns True if track has hits in UT detector, False otherwise"
TRACKHASVELO,"Returns True if track has hits in Velo, False otherwise"
TRACKHISTORY,ComposedBoundFunctor:
TRACKISCLONE,Track flag contains Clone
TRACKISDOWNSTREAM,Track type is Downstream
TRACKISINVALID,Track flag contains Invalid
TRACKISLONG,Track type is Long
TRACKISSELECTED,Track flag contains Selected
TRACKISTTRACK,Track type is Ttrack
TRACKISUPSTREAM,Track type is Upstream
TRACKISVELO,Track type is Velo
TRACKISVELOBACKWARD,Track type is VeloBackward
TRACKSTATE,Returns the CTB or first state of a given track.
TRACKTYPE,Track type.
TRACK_COVARIANCE,"Get the covariance matrix for an track state: (x,y,tx,ty,qop)."
TRACK_MOMVEC,Get the 3-vector momentum of a track (see TRACK() for definition)
TRACK_P,Get the magnitude of the momentum vector of a track (see TRACK() for definition)
TRACK_POSVEC_CLOSESTTOBEAM,Get the position vector of TRACK() at the closest-to-beam state (see CLOSESTTOBEAM() for definition).
TRACK_POS_CLOSESTTOBEAM_X,Get the X-coordinate of the position vector of a track at the closest-to-beam state (see CLOSESTTOBEAM() for definition).
TRACK_POS_CLOSESTTOBEAM_Y,Get the Y-coordinate of the position vector of a track at the closest-to-beam state (see CLOSESTTOBEAM() for definition).
TRACK_POS_CLOSESTTOBEAM_Z,Get the Z-coordinate of the position vector of a track at the closest-to-beam state (see CLOSESTTOBEAM() for definition).
TRACK_PT,Get the transverse momentum of a track (see TRACK() for definition)
TRACK_PX,Get the X-coordinate of the momentum of a track (see TRACK_MOMVEC() for definition)
TRACK_PY,Get the Y-coordinate of the momentum of a track (see TRACK_MOMVEC() for definition)
TRACK_PZ,Get the Z-coordinate of the momentum of a track (see TRACK_MOMVEC() for definition)
TWOBODY_TILT,"axis_str should be X or Y, case sensitive"
TWOBODY_YZ_INTERSECTION_Y,The y-position of the y-z straight line intersection calculated using the slopes and closest to beam positions. Can be used to help reduce combinatorics before vertex fit if combination mass is unreliable.
TWOBODY_YZ_INTERSECTION_Z,The z-position of the y-z straight line intersection calculated using the slopes and closest to beam positions. Can be used to help reduce combinatorics before vertex fit if combination mass is unreliable.
TX,Get the X-coordinate of the slope (see SLOPES() for definition).
TY,Get the Y-coordinate of the slope (see SLOPES() for definition).
UNITVECTOR,Normalize vector.
UPSTREAMCHI2,Return chi2 of fitted upstream track segment
UPSTREAMCHI2DOF,Return chi2/ndof of fitted upstream track segment
UTHITADCS,ADCs of UT hits on track.
UTHITSIZES,Size of UT hits on track.
UTLHCBIDOVERLAP,Return the overlap in UT LHCbIDs between a Particle and the Particle in a container of Particles with the highest overlap in LHCbIDs Args: Particles: DataHandle of container of Particles to search for largest overlap VPFrac: Minimum overlap fraction in VP to be considered for best overlap UTFrac: Minimum overlap fraction in UT to be considered for best overlap FTFrac: Minimum overlap fraction in FT to be considered for best overlap MuonFrac: Minimum overlap fraction in the Muon to be considered for best overlap UseMuonNeighbours: Use neighbouring muon hits for overlap check
VALUE,"Return contained value of an optional. If no value is contained, it throws an exception. This functor is used currently for example to store Tis/Tos information using relation table, where a value is always expected in the optional."
VALUE_FROM_DICT,"Return value from a dictionary with specified key. If the key is not found, it throws an exception."
VALUE_OR,Return contained value of optional or specified default if optional is empty
VELOCHI2,Return chi2 of fitted VELO segment
VELOCHI2DOF,Return chi2/ndof of fitted VELO segment
VELOMATCHCHI2,Chi2 of VELO track when matching it to a composite charged particle reconstructed with downstream tracks as defined in https://inspirehep.net/literature/2768765.
VELOMATCHIP,IP of VELO track to the endvertex of a composite charged particle reconstructed with downstream tracks as defined in https://inspirehep.net/literature/2768765.
VPCHANNELID,Get the VPChannelID from a VPMicroCluster object
VPCLUSTERS,Get VPMicroClusters from track-like object
VPLHCBIDOVERLAP,Return the overlap in VP LHCbIDs between a Particle and the Particle in a container of Particles with the highest overlap in LHCbIDs Args: Particles: DataHandle of container of Particles to search for largest overlap VPFrac: Minimum overlap fraction in VP to be considered for best overlap UTFrac: Minimum overlap fraction in UT to be considered for best overlap FTFrac: Minimum overlap fraction in FT to be considered for best overlap MuonFrac: Minimum overlap fraction in the Muon to be considered for best overlap UseMuonNeighbours: Use neighbouring muon hits for overlap check
VPLIGHTCLUSTERPOSITION,"Obtain position coordinates of LHCbIDs by mathcing with container of VPLightClusters If the LHCbID is not a VP id, or if the id is not found in the provided container, an empty optional is returned."
VPMODULEID,Get the module number from a VPChannelID object
VTX_DLS,Return the decay length significance w.r.t. the given vertex.
VTX_FDCHI2,Return the flight distance chi2 w.r.t. the given vertex. The first implicit argument type is a vertex.
VTX_LTIME,Return the particle lifetime w.r.t. the given vertex.
VTX_LTIME_WITH_ERROR,Return the particle lifetime and variance w.r.t. the given vertex.
WEIGHT,"Given a relation, return the WEIGHT side"
WITH_BREM,"Gives wrapper around object to use brem-corrected momenta / covariances, no overlap check unless done in composite builder"
X_COORDINATE,Get X coordinate. Functor to be used in composition.
Y_COORDINATE,Get Y coordinate. Functor to be used in composition.
Z_COORDINATE,Get Z coordinate. Functor to be used in composition.
Functor,Create a new Functor class and return an instance of it.
abs,Wrap the math::abs functor.
acos,Wrap the math::acos functor.
arccos,"WARNING: Deprecated, use acos instead."
asin,Wrap the math::asin functor.
atan,Wrap the math::atan functor.
atan2,Wrap the math::atan2 functor.
boost_from,Boost v1 4-vector from the rest frame of ref 4-vector
boost_to,Boost v1 4-vector into the rest frame of ref 4-vector
copysign,Wrap the math::copysign functor.
cos,Wrap the math::cos functor.
exp,Wrap the math::exp functor.
in_range,Wrap the math::in_range functor.
log,Wrap the math::log functor.
pow,Wrap the math::pow functor.
sign,Wrap the math::sign functor.
similarity,"Wrap for “Similarity” functor. Given vector “vec” of length “n” and covariance matrix of size “nxn”, similarity computes: vec.transpose() * cov_matrix * vec"
sin,Wrap the math::sin functor.
sqrt,Wrap the math::sqrt functor.
tan,Wrap the math::tan functor.
where,"Wrap the math::where functor. If condition is true, return functor_a result is returned, else return functor_b result."
